config mean_ratio total_plans
0__true__true__true__x_all_atoms_dt2_pbs_blind .5888 3
0__true__true__true__x_all_atoms_dt2_pbs_lama .4722 3
10__true__false__false__x_atoms_from_cond_effects_dt2_pbs_blind .5333 3
10__true__false__false__x_atoms_from_cond_effects_dt2_pbs_lama .2825 3
11__true__false__false__x_atoms_outisde_of_cond_effects_dt2_pbs_blind .5888 3
11__true__false__false__x_atoms_outisde_of_cond_effects_dt2_pbs_lama .3769 3
12__false__true__true__x_all_atoms_dt2_pbs_blind N/A 0
12__false__true__true__x_all_atoms_dt2_pbs_lama N/A 0
13__false__true__true__x_atoms_from_cond_effects_dt2_pbs_blind N/A 0
13__false__true__true__x_atoms_from_cond_effects_dt2_pbs_lama N/A 0
14__false__true__true__x_atoms_outisde_of_cond_effects_dt2_pbs_blind .4698 3
14__false__true__true__x_atoms_outisde_of_cond_effects_dt2_pbs_lama .3425 3
15__false__true__false__x_all_atoms_dt2_pbs_blind N/A 0
15__false__true__false__x_all_atoms_dt2_pbs_lama N/A 0
16__false__true__false__x_atoms_from_cond_effects_dt2_pbs_blind N/A 0
16__false__true__false__x_atoms_from_cond_effects_dt2_pbs_lama N/A 0
17__false__true__false__x_atoms_outisde_of_cond_effects_dt2_pbs_blind .4698 3
17__false__true__false__x_atoms_outisde_of_cond_effects_dt2_pbs_lama N/A 0
18__false__false__true__x_all_atoms_dt2_pbs_blind N/A 0
18__false__false__true__x_all_atoms_dt2_pbs_lama N/A 0
19__false__false__true__x_atoms_from_cond_effects_dt2_pbs_blind N/A 0
19__false__false__true__x_atoms_from_cond_effects_dt2_pbs_lama N/A 0
1__true__true__true__x_atoms_from_cond_effects_dt2_pbs_blind .5333 3
1__true__true__true__x_atoms_from_cond_effects_dt2_pbs_lama .3571 3
20__false__false__true__x_atoms_outisde_of_cond_effects_dt2_pbs_blind .4698 3
20__false__false__true__x_atoms_outisde_of_cond_effects_dt2_pbs_lama N/A 0
21__false__false__false__x_all_atoms_dt2_pbs_blind N/A 0
21__false__false__false__x_all_atoms_dt2_pbs_lama N/A 0
22__false__false__false__x_atoms_from_cond_effects_dt2_pbs_blind N/A 0
22__false__false__false__x_atoms_from_cond_effects_dt2_pbs_lama N/A 0
23__false__false__false__x_atoms_outisde_of_cond_effects_dt2_pbs_blind .4698 3
23__false__false__false__x_atoms_outisde_of_cond_effects_dt2_pbs_lama N/A 0
2__true__true__true__x_atoms_outisde_of_cond_effects_dt2_pbs_blind .5888 3
2__true__true__true__x_atoms_outisde_of_cond_effects_dt2_pbs_lama .5000 3
3__true__true__false__x_all_atoms_dt2_pbs_blind .5888 3
3__true__true__false__x_all_atoms_dt2_pbs_lama .4999 3
4__true__true__false__x_atoms_from_cond_effects_dt2_pbs_blind .5333 3
4__true__true__false__x_atoms_from_cond_effects_dt2_pbs_lama .2825 3
5__true__true__false__x_atoms_outisde_of_cond_effects_dt2_pbs_blind .5888 3
5__true__true__false__x_atoms_outisde_of_cond_effects_dt2_pbs_lama .3769 3
6__true__false__true__x_all_atoms_dt2_pbs_blind .5888 3
6__true__false__true__x_all_atoms_dt2_pbs_lama .4722 3
7__true__false__true__x_atoms_from_cond_effects_dt2_pbs_blind .5333 3
7__true__false__true__x_atoms_from_cond_effects_dt2_pbs_lama .3571 3
8__true__false__true__x_atoms_outisde_of_cond_effects_dt2_pbs_blind .5888 3
8__true__false__true__x_atoms_outisde_of_cond_effects_dt2_pbs_lama .5000 3
9__true__false__false__x_all_atoms_dt2_pbs_blind .5888 3
9__true__false__false__x_all_atoms_dt2_pbs_lama .4999 3
